N,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
2500,4,4,4,4,0.0003124319676764,0.0023227276141712,0.0075255549248893,0.0189273817456168,0.0363248417502298,0.0652695304015197,0.1037824266925221,0.1613168305030219,0.2462594617206474,0.3387550633691064,0.4601001695462686,0.5986187827477939,0.7442572679331895,0.8922036800779872,1.050237984401304,1.1985052343877598,1.3487749678774417,1.5062676515719091,1.643437202282164,1.7752132089020976,1.909477124270392,2.032170623923282,2.147502081638144,2.2614380453305207,2.3657629998365635,2.463119613665144,2.5566579061720858,2.634156542020248,2.705459466670203,2.7771678187487114,2.8449283930873626,2.906966775177793,2.951014061149034,3.009451760322919,3.055114836832212,3.0914045930200675,3.116693371507879,3.1550664035362592,3.187693625335734,3.196532000739578,3.216128275514895,3.226687201025201,3.245247476322424,3.2509870358998043,3.255830169953245,3.2608448296881374,3.2529217732069884,3.2526994888655043,3.242508711557473
3000,5,5,5,5,0.0001910109815995,0.0019077379780929,0.0064983632509988,0.0156858960455404,0.0299064707965033,0.0537287831094255,0.0852424680114642,0.1342036488215945,0.2000785072400516,0.2861854816492585,0.3837579343981134,0.5010669862765234,0.6315318224573427,0.7702702774155235,0.9128868468486512,1.061046994594381,1.2024365253006577,1.3471452958976244,1.4838225004117844,1.624682643398109,1.7629843449107028,1.8830523382305595,2.0100978446194047,2.1207724224038897,2.2270952956186543,2.3417410946774924,2.437660099837576,2.525596989450469,2.6131807243913565,2.693763894073399,2.7695546253300765,2.8470905749301108,2.9081989115244484,2.9649805989197207,3.016767029970107,3.0652911807302203,3.1125897542032592,3.157326991398528,3.1927403848456524,3.226447583609195,3.2533254173612085,3.283529920530849,3.308292088802085,3.324895669962678,3.3419520099319,3.3538913194131568,3.357233832190896,3.370900980827785,3.374630127317433
3500,6,6,6,6,0.0001667263201304,0.0016531657937516,0.0056529500168818,0.013631941202951,0.0262180116851349,0.0454941449471072,0.0732807253782512,0.1118761120781981,0.163054929259657,0.2353939842284404,0.3190192668937187,0.4240072457048546,0.5421675784004664,0.6726337742248418,0.8029667483091238,0.939171939559308,1.0780572037925826,1.2182193114008262,1.3575081951162578,1.49767126243335,1.6269764151628905,1.7515741001978375,1.8765141728799704,1.9964629543965624,2.113606306871949,2.2192149122671787,2.3164198252977752,2.422550594804415,2.5140998725559114,2.6043655447858365,2.690825198694524,2.7625166459571275,2.834937057282948,2.8993823214569066,2.9661069797643265,3.0274500842822647,3.0833647423464456,3.124925751577854,3.1822161973633247,3.2183058747172644,3.2553540499250406,3.2891403080928634,3.3167705942306607,3.35198147019657,3.3815017909502307,3.396816660235136,3.417150252174745,3.434886904192693,3.442725210193395
4000,7,7,7,7,0.0001003622251268,0.0016393282591923,0.004854459259117,0.0111447934464862,0.0221400889775128,0.0400807086169527,0.0622054593337286,0.0964606747576237,0.142865635149903,0.2015064533321262,0.2798437915305697,0.368018657849182,0.4737980977514041,0.5925013379227511,0.7144779857963286,0.8478686658563511,0.9801738187173944,1.1176101036146298,1.2488797659947883,1.3813612869980014,1.5111634863151109,1.6401324479524106,1.7614649096990476,1.881537248061657,2.000543370335065,2.1140115667791344,2.215939388183576,2.318055400141756,2.409741638016074,2.5097210416469027,2.5954570905058447,2.67895474400008,2.755475922596996,2.829249192754679,2.8984856102081995,2.963549565564246,3.024397114641203,3.0829908312914056,3.137255969126133,3.1885158029672422,3.242117496036235,3.2715107234730545,3.313071452266233,3.352158057586791,3.38375594158214,3.4083474542702734,3.439298332155421,3.471930154875272,3.481762131667418
4500,8,8,8,8,0.0001469783601362,0.0012736565419271,0.0043754139973692,0.0107253274611582,0.020788461892837,0.0354010924154281,0.0559971396240815,0.08551435650522,0.1251559105587903,0.1742971362465085,0.2390810431676142,0.3237803425198817,0.4200533379839999,0.5295587913609273,0.6451832499743606,0.7645549045602861,0.8879263932602901,1.025653201763585,1.1509144655901042,1.2813343155702404,1.4072797126800698,1.5360526081997046,1.6589298244386337,1.779597188309313,1.8975793815319413,2.004339844394982,2.1152154590881085,2.215620598843387,2.3217134551593954,2.416104533928485,2.500204657908775,2.593652498257123,2.675691657286396,2.7587623715605365,2.8297357550680147,2.9016130805588443,2.9659983688296254,3.0262792876056497,3.086287081636961,3.1465305254686684,3.187606750904472,3.247676235505959,3.286857496459791,3.3279586703458603,3.3658488026696327,3.4032164796170026,3.4363792600163388,3.467386365409456,3.500523532513857
5000,9,9,9,9,0.0001307400156724,0.0013076515465348,0.0039315562820281,0.0092020943884595,0.0174419863349026,0.0308639962700265,0.0501835572103162,0.0770565987992698,0.112631373633239,0.1547361811595085,0.2146252924639511,0.2878853510139739,0.3775503314517203,0.4725099936980119,0.5818667490810286,0.699732968786433,0.8192437271875277,0.9445957316838312,1.0647354760675154,1.197008103240999,1.3184849975298971,1.441813735463426,1.566852448020554,1.686404332282347,1.8027698946784048,1.915024131090476,2.0235053107728875,2.127137881540073,2.2337598959937366,2.3319968859606552,2.424293835754053,2.509317893792209,2.597229585255552,2.679872696498016,2.75720060905506,2.829045713270811,2.902990408853691,2.972799235666065,3.031438706316831,3.0962003185793856,3.150442203462103,3.204593088928198,3.255434353626964,3.3029381898868446,3.3431092031185994,3.3865948735218145,3.431216843091569,3.4611091969604657,3.490992235867154
5500,10,10,10,10,0.0001279424856488,0.001192885100968,0.0035609549105361,0.0080330538735723,0.016833883970479,0.028251163193386,0.0466597809884498,0.0702303574382021,0.101188897536719,0.142450402713062,0.1953021699973676,0.2588212847133408,0.3366964583679088,0.4295978954574501,0.5300334668052252,0.6360400933331085,0.7495278325834687,0.8691454355430998,0.9904692087676246,1.1152986803143432,1.2375102010517711,1.3609054802668146,1.4805847440072577,1.5995914494279158,1.7117277502532129,1.823686912352652,1.9359116780807168,2.0436499138270205,2.1462690275737413,2.2467779503770675,2.3413053935158614,2.427582778938928,2.5204870055573787,2.6041205058239765,2.686496361573444,2.7649691605533424,2.836272403730702,2.9083722620399546,2.9756889949100778,3.03815430404586,3.10042863174881,3.15955791430256,3.212327858447563,3.2629097933989257,3.304626898253061,3.355899826006936,3.398576477780656,3.4394496023022483,3.4817469123860767
6000,11,11,11,11,7.2391041842416e-05,0.0009319016194706,0.0033571811821019,0.0073221851772127,0.0154932311369326,0.0261679065101356,0.0420039925326266,0.0633557583844388,0.0919445733054729,0.1296541522865555,0.1763136343015762,0.2338879504428143,0.3096529601293493,0.3917628684222662,0.4820074746971104,0.5870593126672643,0.694334824322889,0.81076682557773,0.9258760565383496,1.0465554489011029,1.1687970085078323,1.28399303186409,1.4072356491603857,1.5218106088041112,1.637678710834052,1.746425266478798,1.8575612606124816,1.9605960649942111,2.0673464142292657,2.1661489981780315,2.2632235662119813,2.3529531160407573,2.4468820479334523,2.532154469478623,2.617403192999068,2.695358932878704,2.771821891150824,2.845749420379823,2.913670423097626,2.988068462157699,3.046803280346273,3.1052063605439506,3.1641482702325936,3.2187228462501616,3.276554759945403,3.323359224160292,3.3709781352415447,3.416540836402793,3.45438879024288
6500,12,12,12,12,0.0002003467894586,0.0009094325504917,0.0031157246651927,0.0068297377704625,0.0139018151980635,0.0241725872299952,0.0386925876917382,0.0586158464096429,0.0851009777792919,0.1177732526800258,0.1579493759001309,0.2131844306537071,0.2800549282910902,0.3617160189155696,0.4441742038087573,0.541900268152192,0.6445743930762056,0.7549916174924842,0.8711522187567039,0.9837358388122176,1.102579594273812,1.2147825945134214,1.3326580623371,1.4483686829669602,1.5611484799834547,1.6723144642099828,1.783875783285584,1.8882395072332403,1.991994289445124,2.09360996977934,2.190118211189462,2.2848695114566064,2.376616431357545,2.465200384333272,2.5499489565440183,2.6293375725094896,2.712652664871233,2.7864444382287985,2.8575931294270265,2.9253757920699663,2.993244914207457,3.0598470798925868,3.1210610212236776,3.1798123230353563,3.226466792259905,3.283669671159753,3.335785773112695,3.3793911099153378,3.4230635938652627
7000,13,13,13,13,0.0001486035510898,0.0009541829996435,0.0026387145007418,0.0064788085738616,0.0129465671820502,0.0223740883391946,0.036634386380342,0.0546942562754466,0.0780751352253492,0.1092264752845953,0.1482736072427065,0.1994774368383681,0.26268421906065,0.3310675927399606,0.4115566076698624,0.5040066561425478,0.601701088904851,0.7047852918659883,0.8160501141357542,0.927686312890138,1.0394641476420423,1.1540485072247997,1.2667400058232523,1.3847655839992623,1.4945853920994876,1.602350537014351,1.712879912971644,1.8181630870191023,1.9233947454827915,2.0248816001822414,2.123426092383342,2.2174973844502475,2.309102742525216,2.399379348558303,2.4868518332986285,2.5673770260480446,2.646562097016969,2.7271184089642286,2.801601969785527,2.875075123726348,2.939871621551564,3.0054394569994085,3.070623140714385,3.127465651036353,3.186998049235848,3.24214125256456,3.289626731041134,3.3462325675938462,3.3926636533216787
