,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
0,0.0,5.774638915267971e-06,0.0,0.0,2.3052527090339225e-05,3.460189725545959e-05,4.6166733759900325e-05,5.7747083332948534e-05,0.0,8.650577946056615e-05,9.258168112724618e-05,0.00012110905852402709,0.00011588317857214037,0.0001437957481269514,0.00013777026574812723,0.00020158391782132412,0.00016267614069676029,0.00022402894584061528,0.0,0.00019793861962824622,0.0002788809534175485,0.00029651267587205155,0.00023334637520466828,0.0,0.0003430864690967539,0.0005255553283705083,0.0002807850517196897,0.00044001608419996785,0.0005810429966617292,0.0003069721348332166,0.000696329756978642,0.0003979350075207222,0.0006991636025155401,0.0007143564057567886,0.00037645763051141756,0.0009876875915395544,0.000544701180566598,0.0006574798147056526,0.001154464004797795,0.0007494819004998376,0.000448921214450948,0.0012561002676489963,0.0012828113327074675,0.0005641361549475477,0.0007088671822303994,0.0014849875778697452,0.0016078613964030097,0.0011044295654691894,0.0
1,0.0,1.4422148628678855e-06,0.0,0.0,5.7746389150459265e-06,4.335321040382922e-06,0.0,1.5722064708345584e-05,0.0,7.235225694124381e-06,2.3052527090339225e-05,8.688102806519993e-06,3.460189725545959e-05,3.6127941428265586e-05,4.61667337607885e-05,3.040851333047101e-05,5.774708333383671e-05,6.0695287050549496e-05,0.0,7.514679746734032e-05,8.650577945967797e-05,9.518824166043771e-05,9.25816811268021e-05,0.0,0.00012110905852491527,0.00011349224579682016,0.00011588317857125219,0.0001514378061902022,0.00014379574812739548,0.00013207323542019367,0.00013777026574768314,0.00016520188617530351,0.00020158391782132412,0.00021677672106434898,0.00016267614069498393,2.5670887366935347e-05,0.00022402894584150346,0.0002534174130248701,0.0,0.0002876962985798315,0.00019793861962646986,0.0002521698883581891,0.00027888095341843666,0.0002504079114187263,0.00029651267587205155,0.00031664980985190994,0.00023334637520466828,0.0004171720548704627,0.0
2,0.0,-2.220446049250313e-16,0.0,0.0,0.0,3.203856157263374e-06,5.129588447339017e-06,5.7746389150459265e-06,0.0,8.970809181274575e-06,-8.881784197001252e-16,1.28154530600888e-05,7.677345282619541e-06,0.0,1.5416233131837487e-05,1.6637963833332492e-05,2.3052527089895136e-05,5.792713071883782e-06,0.0,3.460189725590368e-05,2.3011761514979412e-05,2.8771094823021315e-05,4.6166733760344414e-05,0.0,4.6269672719034816e-05,5.7747083332948534e-05,6.161065531440357e-05,5.401756728939944e-05,8.881784197001252e-16,7.2984335254489e-05,3.610043159785192e-05,8.650577946056615e-05,3.8251827477964184e-05,4.835979455464212e-05,9.258168112591392e-05,0.00010907911919666446,0.00011536741464546196,0.00012110905852580345,0.00012824335915162521,0.00013101227564149553,0.00011588317857302854,6.13663517627927e-05,5.0890902558720086e-05,0.00014379574812561913,0.0001619481985768445,5.5627953043035916e-05,0.00013777026574679496,0.00018319750306527993,0.0
3,0.0,3.6073391762592166e-07,0.0,0.0,1.44221486308993e-06,1.8042719154287568e-06,0.0,2.5226164859226685e-06,0.0,3.249860002441096e-06,5.7746389150459265e-06,3.973379562705048e-06,4.335321039050655e-06,9.009358077349816e-06,0.0,1.1912197861896345e-05,5.757369570424942e-06,1.2604725345255474e-05,0.0,1.44006212714487e-05,7.235225695012559e-06,3.98137434842738e-06,2.3052527089895136e-05,0.0,8.688102806964082e-06,8.982495351084196e-06,3.460189725412732e-05,5.072315707899122e-06,3.6127941428709676e-05,4.328849958401548e-05,4.6166733759456235e-05,4.6942897048651844e-05,3.040851333047101e-05,2.6938687231137237e-05,5.7747083332948534e-05,1.2554755196347855e-05,6.0695287050549496e-05,5.5387756161096036e-05,0.0,5.2137898089554824e-05,7.514679746645214e-05,8.333113288561123e-05,8.650577946145432e-05,9.00952664562027e-05,9.518824165866135e-05,9.85483394577713e-05,9.25816811268021e-05,6.526031967357682e-05,0.0
4,0.0,2.3080044719847592e-07,0.0,0.0,9.235713416266833e-07,2.0929707216232885e-06,1.8466504401182249e-06,1.6168973409058651e-06,0.0,2.768131440955557e-06,3.691334265365498e-06,4.152198489038028e-06,5.541433965028375e-06,5.7746389150459265e-06,5.534056179090641e-06,1.021786112520573e-05,3.700216004709489e-06,1.0160662024638611e-05,0.0,1.4426118110755226e-05,1.2936939952190585e-05,1.294212617963808e-05,9.213633004101496e-06,0.0,1.0132308316812555e-05,2.0326797397274277e-05,1.8437099175372396e-05,1.589143163815976e-05,2.3052527090783315e-05,2.5422107014172468e-05,1.2885418197328136e-05,2.313574514012373e-05,3.324881673893998e-05,3.46018972550155e-05,3.691362575786172e-05,3.880586998672442e-05,2.7781535949955583e-05,1.6091867757417333e-05,4.6166733760344414e-05,4.64082461526516e-06,5.0797009397030024e-05,2.551715979315361e-05,3.336474698922842e-05,5.774708333472489e-05,5.5297070170823304e-05,3.9320744877890945e-05,2.0205761393832233e-05,0.00012356895700715853,0.0
5,0.0,-2.220446049250313e-16,0.0,0.0,0.0,9.61903791729668e-07,0.0,1.44221486308993e-06,0.0,1.924663798114068e-06,-8.881784197001252e-16,2.4063654202599594e-06,3.203856157263374e-06,0.0,5.129588447339017e-06,5.770146763950379e-06,5.774638914601837e-06,2.7296455655800855e-06,0.0,4.3353210408270115e-06,8.970809182606843e-06,1.0416017818037915e-05,0.0,0.0,1.2815453058756532e-05,5.75736957131312e-06,7.677345281287273e-06,1.666565256197572e-05,8.881784197001252e-16,1.3490702381879771e-05,1.5416233131837487e-05,7.235225695012559e-06,1.6637963832444314e-05,2.0071003909549745e-05,2.3052527089895136e-05,8.1472724744458e-06,5.792713070995603e-06,8.688102806964082e-06,0.0,1.9018746839627454e-05,3.460189725590368e-05,2.651742545811686e-05,2.3011761514091233e-05,3.6127941429597854e-05,2.877109482479767e-05,2.5093442379997555e-05,4.6166733759456235e-05,3.340278350627557e-05,0.0
6,0.0,1.1778224440206486e-07,0.0,0.0,4.7099444033804616e-07,0.0,9.421683944133008e-07,4.713985166659995e-07,0.0,1.0592335519810092e-06,1.8850554539540099e-06,1.7653895412195197e-06,8.881784197001252e-16,2.9428765579986305e-06,2.828662411857863e-06,1.7687573272695545e-06,4.709949026349136e-06,3.5294380156258853e-06,0.0,5.774638914601837e-06,2.351394236654869e-06,4.468923888722998e-06,4.7180409818992075e-06,0.0,9.42709088924687e-06,1.0017240599680122e-05,0.0,1.0610539799671415e-05,1.1788366870213451e-05,4.958208044136825e-06,1.412181352300479e-05,3.640862909826126e-06,3.779490096889049e-06,0.0,1.3165341639087558e-05,1.9445274158869097e-05,7.985660614551193e-06,1.7107851282283093e-05,2.3554332937436584e-05,2.2941449828728366e-05,2.305252709255967e-05,2.600527172802458e-05,2.8276004337968175e-05,2.0659275413947853e-05,9.85717902324268e-06,3.237802416489188e-05,1.040358374915229e-05,3.46018972550155e-05,0.0
7,0.0,9.016092850089308e-08,0.0,0.0,3.6073391740387706e-07,5.409656296251342e-07,0.0,9.016094573155442e-07,0.0,1.262674236723882e-06,1.44221486308993e-06,1.6237092159698818e-06,1.8042719145405783e-06,2.255152020236295e-06,0.0,2.7034783203205848e-06,2.522616484590401e-06,4.057921780820095e-06,0.0,4.95885666484952e-06,3.249860004217453e-06,1.8965433143947052e-06,5.774638913713659e-06,0.0,3.973379562260959e-06,4.141200479423901e-06,4.335321039938833e-06,2.439637146522955e-06,9.00935807557346e-06,1.0109909236000192e-05,0.0,8.192382511040819e-06,1.1912197861896345e-05,1.1257021766297726e-05,5.757369570424942e-06,5.9367951985578316e-06,1.2604725346143653e-05,1.6868594097552148e-05,0.0,1.8672729598101512e-05,1.44006212714487e-05,1.0160780814061354e-05,7.235225694124381e-06,9.043277783504777e-06,3.981374347539202e-06,9.438648923776327e-06,2.3052527089895136e-05,2.518443935795034e-05,0.0
8,0.0,-2.220446049250313e-16,0.0,0.0,0.0,2.1381181314339415e-07,5.69953671369916e-07,-4.440892098500626e-16,0.0,3.5598378334000813e-07,-8.881784197001252e-16,7.831643999978155e-07,1.7096082074452568e-06,0.0,1.7088491119920945e-06,2.1384361490461856e-06,0.0,1.7115103823073241e-06,0.0,3.2038561581515523e-06,4.275289619215528e-06,4.276874415509724e-06,5.129588447339017e-06,0.0,1.7070818110198616e-06,5.774638914601837e-06,5.70461651250298e-06,4.2686526660062896e-06,8.881784197001252e-16,4.623691078897707e-06,8.554391631498959e-06,8.970809181718664e-06,9.397296349966666e-06,1.069061656533421e-05,-8.881784197001252e-16,1.1478001132658733e-05,1.253344622220709e-05,1.281545305964471e-05,1.4248886819778761e-05,1.10600972265118e-05,7.677345281287273e-06,1.4975761810198662e-05,1.3658709213437703e-05,0.0,1.0853290890899814e-05,1.4986888875689885e-05,1.5416233131837487e-05,1.171274674316436e-05,0.0
9,0.0,5.77116499034247e-08,0.0,0.0,2.3080044719847592e-07,2.8848133615255733e-07,0.0,5.771165687562529e-07,0.0,8.656749108659767e-07,9.235713425148617e-07,1.1543872413533052e-06,6.920325272830041e-07,1.4422148622017517e-06,1.8466504401182249e-06,8.648679692413452e-07,1.6168973413499543e-06,1.3837889163426098e-06,0.0,1.0952079740889076e-06,2.7681314405114676e-06,3.6343832956475808e-06,3.6913342649214087e-06,0.0,4.15219848814985e-06,3.1703403911009786e-06,5.541433964140197e-06,5.884242677112184e-06,5.774638913713659e-06,5.70813497624556e-06,5.534056177758373e-06,7.8487985266662e-06,1.8429681745146809e-06,4.335321039050655e-06,3.7002160038213106e-06,4.608341464873433e-06,1.016066202552679e-05,7.144832157912617e-06,0.0,2.256177566550832e-06,2.3024876822930196e-06,1.0720107417760971e-05,1.293693994952605e-05,5.757369570424942e-06,1.2942126181414437e-05,1.505075536467615e-05,9.213633004101496e-06,2.7041679775408056e-06,0.0
